object_name,luminosity,star_color,koi_pdisposition,koi_disposition
Kepler-227 b,2.6242432895868476e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-227 c,2.6242432895868476e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.0494334099630672e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.450346325013247e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-664 b,4.9921346442336804e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 d,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 c,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 b,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.987954523218907e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-229 c,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-1 b,3.677152265720599e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-2 b,2.2603136277511261e+27,Yellow-white,CANDIDATE,CONFIRMED
Kepler-8 b,1.0903297329162905e+27,Yellow-white,CANDIDATE,CONFIRMED
Kepler-466 c,4.1699927958424326e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.7968622234840235e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0314289225778993e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.3303149798977695e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.5011155259017841e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-660 b,9.289638174980769e+25,Orange,CANDIDATE,CONFIRMED
Kepler-661 b,6.599017355040172e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.4331360697466074e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-226 c,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
Kepler-226 b,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
Kepler-226 d,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,8.127543369893996e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-662 b,1.4241321471077913e+26,Orange,CANDIDATE,CONFIRMED
Kepler-663 b,2.0103520238023423e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-671 b,2.416660675890065e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.53880063996869e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.0940615863106217e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.8495160459158974e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-672 b,3.340598843822737e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-229 d,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-229 b,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-665 b,1.4883650092992899e+26,Orange,CANDIDATE,CONFIRMED
Kepler-230 b,2.138331903157161e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-230 c,2.138331903157161e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1976 b,4.298064454674647e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.7096944667402023e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-666 b,4.4106062702996047e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.304339179764158e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-105 b,4.545016596260207e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-667 b,3.373207055252146e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-668 b,2.088736822563909e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-669 b,6.0965358620893166e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-670 b,2.9457849313241552e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.1060276574658975e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-680 b,3.4666786275749306e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-232 b,3.787552278961226e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-232 c,3.787552278961226e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-681 b,1.3894581788709123e+26,Orange,CANDIDATE,CONFIRMED
Kepler-106 c,4.147988128385031e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-105 c,4.545016596260207e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.387099712924795e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-52 c,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-52 b,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-52 d,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-673 b,2.0609411867065465e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.8504536999991997e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-674 b,3.2508546694115407e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.209756126143992e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-675 b,1.266498865016917e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.266498865016917e+26,Orange,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.545016596260207e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-676 b,1.427419214047637e+25,Red,CANDIDATE,CONFIRMED
Kepler-677 b,4.348559425431177e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-678 b,2.3464447354081427e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-231 c,2.9881645360922173e+25,Orange,CANDIDATE,CONFIRMED
Kepler-231 b,2.9881645360922173e+25,Orange,CANDIDATE,CONFIRMED
Kepler-679 b,1.8499062568475003e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-106 e,4.147988128385031e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.7830814156776023e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.532034824052208e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-234 b,5.953538215627138e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-234 c,5.953538215627138e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.0065406088597567e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-233 b,1.7596711336129594e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-233 c,1.7596711336129594e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-682 b,3.284811037524323e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,8.10488407280754e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.7820823083923496e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-683 b,3.608745182388403e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-684 b,1.6237572297102432e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.0638262934717019e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.098884066017321e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-235 d,2.040552760764279e+25,Orange,CANDIDATE,CONFIRMED
Kepler-235 e,2.040552760764279e+25,Orange,CANDIDATE,CONFIRMED
Kepler-106 d,4.147988128385031e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-235 c,2.040552760764279e+25,Orange,CANDIDATE,CONFIRMED
Kepler-688 b,1.9701945612927522e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-689 b,1.5740681205020692e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-685 b,3.9710131194095104e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.0026671919006582e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.3980859560229602e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1727 b,1.898382421189411e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.625544009320302e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-30 d,2.3464447354081427e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-106 b,4.147988128385031e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-30 c,2.3464447354081427e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-30 b,2.3464447354081427e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.9695732471371312e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.7428205582866e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-686 b,3.4100338734451335e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1728 b,1.604629784643439e+26,Orange,CANDIDATE,CONFIRMED
Kepler-687 b,1.1560881982142385e+26,Orange,CANDIDATE,CONFIRMED
Kepler-235 b,2.040552760764279e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.7501045912831494e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-53 b,4.253341994111501e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-107 c,7.923079432912373e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-53 d,4.253341994111501e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-53 c,4.253341994111501e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-428 b,1.5256007662303441e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.4098666240361657e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-690 b,5.167674405841751e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-236 c,1.866650253865945e+25,Orange,CANDIDATE,CONFIRMED
Kepler-236 b,1.866650253865945e+25,Orange,CANDIDATE,CONFIRMED
Kepler-691 b,1.712747975963419e+25,Red,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.893856015872909e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.105464732175915e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.175167717427364e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-107 e,7.923079432912373e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-692 b,3.387340654332783e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.176898175921472e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.08546198420368e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-693 b,1.4789881925847471e+26,Orange,CANDIDATE,CONFIRMED
Kepler-237 c,1.0317874801401356e+26,Orange,CANDIDATE,CONFIRMED
Kepler-237 b,1.0317874801401356e+26,Orange,CANDIDATE,CONFIRMED
Kepler-694 b,2.766876189924508e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.771468241260506e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.8351959991600333e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-695 b,1.3868084331132715e+26,Orange,CANDIDATE,CONFIRMED
Kepler-27 b,1.7501601603069156e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-107 d,7.923079432912373e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-27 c,1.7501601603069156e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.169004167019356e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.4026148508493872e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.479987881803832e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-238 e,7.166097068122908e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-238 d,7.166097068122908e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-238 c,7.166097068122908e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-238 b,7.166097068122908e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-107 b,7.923079432912373e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-238 f,7.166097068122908e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-239 b,1.1920257347521096e+26,Orange,CANDIDATE,CONFIRMED
Kepler-239 c,1.1920257347521096e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,8.951457665618963e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-240 c,1.0816468992655847e+26,Orange,CANDIDATE,CONFIRMED
Kepler-240 b,1.0816468992655847e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.5762163463672156e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-702 b,1.82506097312437e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-703 b,3.0329389630075686e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-704 b,3.171859736627056e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-242 b,1.4883650092992899e+26,Orange,CANDIDATE,CONFIRMED
Kepler-242 c,1.4883650092992899e+26,Orange,CANDIDATE,CONFIRMED
Kepler-27 d,1.7501601603069156e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-241 b,7.933125740455832e+25,Orange,CANDIDATE,CONFIRMED
Kepler-241 c,7.933125740455832e+25,Orange,CANDIDATE,CONFIRMED
Kepler-696 b,6.043248527676405e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-697 b,3.5485591551016115e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-698 b,4.010682099319303e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-699 b,2.5095056468505314e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-700 b,4.8720674499986733e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.0412074678075431e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-467 b,6.394605566239496e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-701 b,2.6614453300613035e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-709 b,1.772634901072638e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.834005328595631e+25,Orange,CANDIDATE,CANDIDATE
Kepler-245 b,1.4484961506381916e+26,Orange,CANDIDATE,CONFIRMED
Kepler-245 d,1.4484961506381916e+26,Orange,CANDIDATE,CONFIRMED
Kepler-245 c,1.4484961506381916e+26,Orange,CANDIDATE,CONFIRMED
Kepler-705 b,1.3856624890077073e+25,Red,CANDIDATE,CONFIRMED
Kepler-706 b,1.7893381446359858e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.5018702740812105e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-243 b,1.769929621288925e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-108 b,1.4619519606902372e+27,Yellow,CANDIDATE,CONFIRMED
Kepler-243 c,1.769929621288925e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.962279177395258e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.328562486241806e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-707 b,1.7387179881708718e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.098284520320933e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-708 b,3.680074005120138e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-244 b,2.7655590375944234e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-244 d,2.7655590375944234e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-244 c,2.7655590375944234e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.4391936607338856e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-108 c,1.4619519606902372e+27,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.0631997522723066e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-82 b,2.5818815950571013e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-82 c,2.5818815950571013e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-82 e,2.5818815950571013e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-82 d,2.5818815950571013e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-712 b,1.2787679746612526e+26,Orange,CANDIDATE,CONFIRMED
Kepler-245 e,1.4484961506381916e+26,Orange,CANDIDATE,CONFIRMED
Kepler-28 b,3.080678630287461e+25,Orange,CANDIDATE,CONFIRMED
Kepler-28 c,3.080678630287461e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.6890206315159183e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,5.694977214654098e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-46 b,2.0966361605701137e+26,Orange,CANDIDATE,CONFIRMED
Kepler-46 d,2.0966361605701137e+26,Orange,CANDIDATE,CONFIRMED
Kepler-710 b,4.759164883760045e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-246 b,1.4789881925847471e+26,Orange,CANDIDATE,CONFIRMED
Kepler-246 c,1.4789881925847471e+26,Orange,CANDIDATE,CONFIRMED
Kepler-1729 b,1.998084681877643e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.3509604218446122e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-81 b,4.5553228708526005e+25,Orange,CANDIDATE,CONFIRMED
Kepler-81 c,4.5553228708526005e+25,Orange,CANDIDATE,CONFIRMED
Kepler-81 d,4.5553228708526005e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.945108451612949e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-711 b,1.0496473823175595e+26,Orange,CANDIDATE,CONFIRMED
Kepler-109 b,7.302894246389534e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-716 b,1.8702972799861003e+26,Orange,CANDIDATE,CONFIRMED
Kepler-716 c,1.8702972799861003e+26,Orange,CANDIDATE,CONFIRMED
Kepler-717 b,4.14708474783257e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.3720273035479805e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-712 c,1.2787679746612526e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,9.232464818113922e+25,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,7.600732996727014e+25,Orange,CANDIDATE,CANDIDATE
Kepler-247 c,1.4125344777305006e+26,Orange,CANDIDATE,CONFIRMED
Kepler-95 b,6.967350443340595e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-247 d,1.4125344777305006e+26,Orange,CANDIDATE,CONFIRMED
Kepler-247 b,1.4125344777305006e+26,Orange,CANDIDATE,CONFIRMED
Kepler-54 b,1.4479751884410853e+25,Orange,CANDIDATE,CONFIRMED
Kepler-54 c,1.4479751884410853e+25,Orange,CANDIDATE,CONFIRMED
Kepler-54 d,1.4479751884410853e+25,Orange,CANDIDATE,CONFIRMED
Kepler-713 b,3.408969499743066e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.9297637532527868e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-75 b,1.980985604389449e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-714 b,5.953538215627138e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-715 b,4.669646825403212e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-448 b,1.3967031789453385e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.457245339718534e+25,Orange,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.1972623579800773e+25,Orange,CANDIDATE,CANDIDATE
Kepler-719 b,2.790928382449825e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-55 d,5.901748501802431e+25,Orange,CANDIDATE,CONFIRMED
Kepler-55 b,5.901748501802431e+25,Orange,CANDIDATE,CONFIRMED
Kepler-110 b,1.0818402314310036e+27,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.224236920785268e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-248 c,1.754367764631196e+26,Orange,CANDIDATE,CONFIRMED
Kepler-248 b,1.754367764631196e+26,Orange,CANDIDATE,CONFIRMED
Kepler-718 b,4.7273822038207486e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-83 b,2.0798409646625872e+25,Orange,CANDIDATE,CONFIRMED
Kepler-83 d,2.0798409646625872e+25,Orange,CANDIDATE,CONFIRMED
Kepler-109 c,7.302894246389534e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-83 c,2.0798409646625872e+25,Orange,CANDIDATE,CONFIRMED
Kepler-249 c,9.367789985358045e+24,Red,CANDIDATE,CONFIRMED
Kepler-249 b,9.367789985358045e+24,Red,CANDIDATE,CONFIRMED
Kepler-249 d,9.367789985358045e+24,Red,CANDIDATE,CONFIRMED
Kepler-1730 b,5.6069722287784964e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-722 b,4.694112882957235e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-722 c,4.694112882957235e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-252 c,3.7519003519231518e+25,Orange,CANDIDATE,CONFIRMED
Kepler-252 b,3.7519003519231518e+25,Orange,CANDIDATE,CONFIRMED
Kepler-723 b,2.2234995672584364e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.9304465931045508e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-55 c,5.901748501802431e+25,Orange,CANDIDATE,CONFIRMED
Kepler-55 e,5.901748501802431e+25,Orange,CANDIDATE,CONFIRMED
Kepler-55 f,5.901748501802431e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.790928382449825e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-250 c,1.5491026151517596e+26,Orange,CANDIDATE,CONFIRMED
Kepler-250 d,1.5491026151517596e+26,Orange,CANDIDATE,CONFIRMED
Kepler-250 b,1.5491026151517596e+26,Orange,CANDIDATE,CONFIRMED
Kepler-251 c,2.4135663914497983e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-251 d,2.4135663914497983e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-251 b,2.4135663914497983e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-110 c,1.0818402314310036e+27,Yellow,CANDIDATE,CONFIRMED
Kepler-251 e,2.4135663914497983e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-720 b,4.825424382337423e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.7146753540967333e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-721 b,1.6153838631522207e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.2797306597072623e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-730 b,5.940430057348097e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.8221523655769918e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-731 b,4.998759904960639e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.9874550755130495e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-468 b,2.4561209691451016e+26,Yellow,FALSE POSITIVE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.887896947982038e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-724 b,3.041944989391914e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.2004650396300105e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-725 b,2.091652366896181e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,6.954358309339296e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-726 b,1.5601678743328596e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-253 c,1.5098909497650562e+26,Orange,CANDIDATE,CONFIRMED
Kepler-253 d,1.5098909497650562e+26,Orange,CANDIDATE,CONFIRMED
Kepler-253 b,1.5098909497650562e+26,Orange,CANDIDATE,CONFIRMED
Kepler-727 b,2.3447111493604973e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-469 b,1.3073319337070876e+27,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-728 b,3.310895903896291e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.5047849945470394e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.771468241260506e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-729 b,4.472570734374455e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.328459322417981e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-256 c,5.123849055210591e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-256 d,5.123849055210591e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-256 b,5.123849055210591e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-256 e,5.123849055210591e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-734 b,1.1689324733985538e+26,Orange,CANDIDATE,CONFIRMED
Kepler-77 b,3.1728756794740644e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.0012130436233965e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-254 b,3.705859229340671e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-254 c,3.705859229340671e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-254 d,3.705859229340671e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-31 b,7.228451317606519e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-31 c,7.228451317606519e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-31 d,7.228451317606519e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,7.228451317606519e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-732 b,1.1909647004545031e+25,Red,CANDIDATE,CONFIRMED
Kepler-732 c,1.1909647004545031e+25,Red,CANDIDATE,CONFIRMED
Kepler-15 b,3.0493716898085157e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-733 b,2.5103197661151246e+26,Yellow,CANDIDATE,CONFIRMED
