object_name,luminosity,star_color,koi_pdisposition,koi_disposition
OBJECT NAME WASN'T RECORDED,3.057370274015897e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-132 e,5.173112717952171e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-880 c,5.280493706057466e+27,Yellow-white,CANDIDATE,CONFIRMED
Kepler-1488 c,8.514908282281815e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.5095056468505314e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1489 b,3.164378275176415e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1490 b,1.8556770077592034e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.868488193860965e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.147375990627663e+27,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.35647971473641e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.2934593200299935e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.766274794859991e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.518446759930933e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.1597963517967613e+26,Orange,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,9.834111210357654e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,,Red,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.716009771056476e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.8915603607778762e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.196792030866839e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.8962062865677325e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-968 d,4.236993695799893e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.2494045406520152e+27,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.2902136142958413e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,8.5132031506548e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.5132031506548e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.188968483500219e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.476545731729591e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.476545731729591e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-1491 b,6.666056804387663e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.801039489574079e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-1492 b,5.979593610626397e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.0656509269962067e+25,Red,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,5.561598947594409e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.5208177562988713e+26,Yellow,CANDIDATE,CANDIDATE
